"P39_NL","P39_L","P33_NL","P33_L","P22_NL","P22_L","P19_NL","P19_L","P65_NL","P65_L"
"AC004147.4",0,0,0,0,0,0,0,0,0,0
"AC004147.5",0,0,0,0,0,0,0,0,0,0
"AC004148.1",50,44,408,133,16,4,37,61,38,46
"AC004156.1",8,3,84,15,5,0,5,10,6,4
"AC004158.1",0,1,13,3,0,0,1,0,2,1
"AC004160.1",1,1,15,1,1,0,0,3,0,2
"AC004160.2",2,1,5,2,3,1,5,0,0,1
"AC004217.1",0,0,5,2,0,0,1,0,0,0
"AC004217.2",0,0,5,0,0,0,0,0,0,0
"AC004221.1",0,0,13,7,0,0,2,0,1,0
"AC004223.1",0,1,5,2,0,0,1,0,0,0
"AC004223.2",0,1,5,1,0,0,0,0,0,0
"AC004223.3",0,2,6,2,0,4,0,0,4,0
"AC004223.4",4,1,9,4,0,0,0,7,2,1
"AC004224.1",1,3,2,3,0,0,1,0,0,0
"AC004224.2",0,0,0,0,0,0,2,0,0,0
"AC004231.1",39,37,82,61,18,15,12,32,55,70
"AC004231.3",0,3,8,0,1,0,0,2,1,2
"AC004232.1",0,0,0,0,0,0,2,1,0,0
"AC004232.2",5,5,19,6,0,1,5,7,7,2
"AC004233.1",0,0,1,4,0,1,2,1,0,0
"AC004233.2",9,7,4,7,5,4,6,17,14,14
"AC004233.3",1,3,33,9,2,1,2,0,2,1
"AC004241.1",21,16,340,90,14,6,24,41,24,25
"AC004241.2",0,0,4,0,0,0,0,5,1,0
"AC004241.3",5,6,6,11,1,3,1,6,3,6
"AC004241.4",0,0,7,2,0,0,0,0,0,0
"AC004241.5",2,1,13,7,6,2,3,6,2,2
"AC004253.1",2,2,37,7,1,2,4,6,1,7
"AC004253.2",0,0,0,0,0,0,0,0,0,0
"AC004257.1",2,1,5,2,0,0,0,0,0,4
"AC004263.1",3,3,7,1,0,0,3,2,2,0
"AC004263.2",22,13,365,101,2,0,10,18,27,15
"AC004264.1",12,5,75,23,5,2,16,18,39,11
"AC004264.2",0,5,43,15,2,0,3,3,5,2
"AC004381.1",1,1,4,11,0,0,2,5,2,3
"AC004381.2",0,0,0,2,0,0,0,0,0,0
"AC004381.3",6,4,9,10,0,0,0,3,4,1
"AC004381.4",1,2,0,1,0,0,2,0,0,0
"AC004383.1",0,0,4,2,0,0,0,1,0,2
"AC004386.1",3,3,8,9,1,1,10,3,0,2
"AC004386.2",0,0,0,0,0,0,0,0,0,0
"AC004386.3",0,0,0,0,0,0,0,0,0,0
"AC004386.4",0,0,0,0,0,0,0,0,0,0
"AC004386.5",0,1,0,0,0,0,0,0,0,0
"AC004386.6",1,0,0,0,0,0,0,0,0,0
"AC004386.7",0,0,0,0,0,0,0,0,1,0
"AC004408.1",0,0,1,0,0,0,0,0,0,0
"AC004408.2",0,0,0,0,0,0,0,0,0,0
"AC004415.1",0,0,0,0,0,0,0,0,0,0
"AC004448.1",0,1,0,0,0,0,0,0,0,0
"AC004448.2",3,2,18,6,7,0,3,7,1,3
"AC004448.3",0,0,0,0,0,0,0,0,0,0
"AC004448.4",0,0,1,0,0,0,0,0,0,0
"AC004448.5",0,0,0,0,0,0,0,1,0,0
"AC004449.1",5,0,17,5,1,0,0,2,2,2
"AC004453.1",5,11,2,8,0,1,2,1,3,1
"AC004453.2",9,1,20,5,1,0,7,2,2,2
"AC004461.1",2,0,12,2,1,0,5,1,2,0
"AC004461.2",3,0,6,1,0,0,0,1,0,2
"AC004461.3",2,1,49,13,2,0,1,1,5,3
"AC004464.1",0,0,0,0,0,0,0,0,0,0
"AC004466.1",59,20,170,51,24,4,52,34,41,23
"AC004466.2",0,2,12,1,0,0,3,0,1,1
"AC004466.3",0,0,6,3,0,0,0,0,1,0
"AC004467.1",0,0,0,0,0,0,0,0,0,0
"AC004470.1",0,0,0,0,0,0,0,0,0,0
"AC004470.2",0,0,0,0,0,0,0,0,0,1
"AC004471.1",3,4,19,5,2,0,2,1,4,8
"AC004471.2",21,5,85,43,6,0,26,21,26,13
"AC004477.1",2,4,13,13,3,1,3,7,8,6
"AC004477.2",0,0,0,0,0,0,0,0,0,0
"AC004477.3",10,7,20,10,2,1,2,8,10,1
"AC004485.1",0,0,0,0,0,0,0,0,0,0
"AC004486.1",0,1,0,2,0,0,0,0,0,0
"AC004490.1",46,12,206,59,46,15,129,101,29,9
"AC004491.1",7,2,16,7,1,0,3,0,3,1
"AC004492.1",27,11,250,125,5,2,8,8,21,14
"AC004494.1",5,1,39,17,4,0,6,12,2,2
"AC004494.2",0,0,3,0,0,0,2,3,0,0
"AC004510.1",0,0,0,0,0,0,0,0,0,0
"AC004522.1",0,0,0,1,0,0,0,0,0,0
"AC004522.2",0,0,0,0,0,0,0,0,0,0
"AC004522.3",0,1,0,1,0,0,0,1,6,3
"AC004522.4",0,0,1,0,0,0,0,2,1,1
"AC004522.5",11,10,29,14,3,3,1,1,7,4
"AC004522.6",2,0,3,0,2,0,2,5,2,3
"AC004528.1",0,1,15,3,2,0,1,0,1,0
"AC004528.2",0,0,5,0,0,3,0,0,0,0
"AC004540.1",8,8,61,29,6,2,6,14,12,6
"AC004540.2",1,1,0,1,0,0,0,1,0,0
"AC004542.1",0,0,0,0,0,0,0,0,0,0
"AC004542.2",0,0,3,5,0,0,0,0,0,0
"AC004542.3",0,0,0,0,0,0,0,0,0,0
"AC004542.4",0,0,0,0,0,0,0,0,0,0
"AC004542.5",0,0,0,0,0,0,0,0,0,0
"AC004542.6",15,16,31,4,2,0,4,4,12,6
"AC004543.1",0,0,4,0,1,0,1,0,1,0
"AC004549.1",0,0,1,1,0,0,0,0,0,0
"AC004551.1",4,0,23,9,2,1,1,1,1,5
"AC004552.1",7,10,0,11,4,1,4,5,0,1
"AC004554.1",0,0,0,0,0,0,0,0,0,0
"AC004554.2",1,1,3,0,1,0,0,4,0,0
"AC004562.1",0,0,0,0,0,0,0,0,0,0
"AC004584.1",3,0,95,3,2,0,2,1,2,3
"AC004584.2",0,1,3,0,0,0,0,0,0,0
"AC004584.3",9,1,19,6,0,0,2,3,0,3
"AC004585.1",3,5,12,16,1,0,1,7,12,2
"AC004585.2",0,0,0,0,0,0,0,0,0,0
"AC004590.1",0,0,0,0,0,0,0,1,1,0
"AC004593.1",0,0,1,1,0,0,0,0,0,0
"AC004593.2",0,0,0,0,0,0,1,1,0,0
"AC004594.1",2,2,8,3,0,0,2,0,2,1
"AC004596.1",5,3,25,12,4,1,8,8,4,4
"AC004597.1",0,0,2,1,0,0,0,0,0,0
"AC004623.1",0,3,79,42,2,0,4,17,25,20
"AC004637.1",0,0,8,6,1,0,0,0,1,1
"AC004664.1",0,0,0,0,0,0,0,0,0,0
"AC004672.1",1,2,9,5,1,0,2,1,2,0
"AC004672.2",1,0,1,1,0,0,1,0,0,0
"AC004674.1",0,0,0,0,0,0,0,0,0,0
"AC004674.2",0,0,0,0,0,0,0,0,0,0
"AC004678.1",1,2,21,7,0,0,0,0,0,0
"AC004678.2",7,0,25,5,4,0,3,5,5,2
"AC004687.1",6,7,22,17,2,2,17,64,4,5
"AC004687.2",17,0,100,34,7,6,0,22,19,6
"AC004687.3",1,0,17,2,1,0,0,4,0,0
"AC004690.1",0,0,0,0,0,0,0,1,0,0
"AC004690.2",0,1,1,1,0,0,0,1,0,0
"AC004691.1",2,0,1,0,0,0,0,0,0,0
"AC004691.2",0,0,8,4,3,0,4,0,0,4
"AC004692.1",2,0,0,0,1,0,0,0,0,0
"AC004692.2",0,0,0,0,0,0,0,0,0,0
"AC004696.1",0,0,7,2,1,0,1,2,1,0
"AC004696.2",0,1,8,1,0,0,0,0,0,0
"AC004702.1",0,0,1,0,0,0,0,0,0,0
"AC004704.1",2,0,1,2,0,0,0,1,0,0
"AC004706.1",46,22,107,62,5,5,6,10,42,39
"AC004706.2",0,0,0,0,0,0,0,0,0,0
"AC004706.3",24,31,74,58,2,3,18,20,30,14
"AC004707.1",0,0,1,0,0,0,0,0,0,0
"AC004707.2",5,6,13,13,1,5,7,10,4,4
"AC004765.1",6,3,59,22,3,0,7,2,6,1
"AC004771.1",0,0,3,1,0,0,0,0,1,0
"AC004771.2",4,8,20,7,8,4,10,9,7,1
"AC004771.3",0,0,0,0,0,0,0,0,0,0
"AC004771.4",1,0,16,11,3,0,0,3,2,0
"AC004774.1",0,0,0,0,0,0,0,0,0,0
"AC004774.2",0,0,0,0,0,0,0,0,0,0
"AC004774.3",1,2,0,0,0,0,0,0,0,0
"AC004775.1",0,0,0,1,0,0,0,0,0,0
"AC004777.1",0,0,1,0,0,0,0,0,0,0
"AC004784.1",6,3,31,14,1,4,3,7,4,8
"AC004788.1",0,0,0,0,0,0,0,0,0,0
"AC004790.1",0,0,0,0,0,0,0,0,0,0
"AC004790.2",0,0,0,0,0,0,0,0,0,0
"AC004792.1",0,0,0,0,0,0,0,0,0,0
"AC004797.1",2,2,17,4,2,1,6,10,7,6
"AC004801.1",1,0,0,0,0,0,0,0,0,0
"AC004801.2",2,5,10,8,0,1,1,0,2,0
"AC004801.3",0,0,0,0,0,0,0,0,0,0
"AC004801.4",1,1,18,4,1,0,1,1,3,0
"AC004801.5",1,0,1,0,1,0,0,0,0,1
"AC004801.6",11,6,22,15,4,0,3,10,14,10
"AC004801.7",14,4,66,28,4,0,20,26,8,5
"AC004803.1",41,36,124,81,16,9,37,71,54,28
"AC004805.1",0,0,4,5,0,0,0,0,6,0
"AC004805.2",0,0,0,0,0,0,0,0,0,1
"AC004805.3",1,1,0,1,0,0,0,0,0,0
"AC004808.1",0,0,1,0,0,0,0,0,0,0
"AC004808.2",2,0,2,0,0,0,1,1,0,0
"AC004812.1",0,0,2,0,0,0,0,0,0,0
"AC004812.2",225,122,211,181,88,62,102,151,112,135
"AC004815.1",0,0,1,1,0,0,1,1,0,1
"AC004816.1",67,85,134,120,14,30,19,33,209,242
"AC004816.2",1,0,1,2,0,1,0,0,0,0
"AC004817.1",0,0,0,2,0,0,1,1,2,0
"AC004817.2",0,0,0,0,0,0,0,0,0,0
"AC004817.3",1,1,29,10,0,0,0,6,0,3
"AC004817.4",11,6,60,17,2,1,6,10,4,4
"AC004817.5",1,0,2,2,1,0,0,0,0,0
"AC004825.1",0,0,0,0,0,0,0,0,0,0
"AC004825.2",15,19,27,18,4,8,4,11,24,17
"AC004825.3",10,4,81,30,1,2,9,12,9,10
"AC004828.1",0,0,0,0,0,0,0,1,0,0
"AC004828.2",0,0,10,1,0,0,2,0,1,0
"AC004830.1",0,0,0,0,0,0,0,0,0,0
"AC004830.2",4,3,91,27,1,0,1,5,2,7
"AC004832.1",1,1,10,2,1,0,0,2,1,0
"AC004832.2",0,0,0,0,0,0,0,0,0,0
"AC004832.3",3,3,14,11,2,0,0,3,5,1
"AC004832.4",0,0,2,2,0,0,2,1,0,0
"AC004832.5",0,1,5,1,1,1,4,1,0,0
"AC004832.6",0,0,2,1,1,0,0,0,0,0
"AC004834.1",8,8,38,14,2,2,7,15,6,3
"AC004835.1",8,2,33,18,2,1,10,32,6,5
"AC004835.2",0,0,0,0,0,0,0,0,0,0
"AC004836.1",0,0,0,0,0,0,0,0,0,0
"AC004837.1",0,0,5,0,0,0,1,0,0,0
"AC004837.2",4,3,47,8,0,0,2,1,3,6
"AC004837.3",0,0,2,0,0,0,0,1,1,0
"AC004837.4",0,0,7,2,3,0,1,2,0,2
"AC004839.1",0,0,7,6,0,0,1,7,5,2
"AC004839.2",2,0,3,3,0,0,1,0,2,2
"AC004840.1",0,1,16,2,0,0,0,1,0,0
"AC004840.2",0,0,2,1,0,0,0,0,0,0
"AC004846.1",51,98,43,105,3,10,20,32,13,34
"AC004846.2",2,5,12,11,3,0,4,3,8,8
"AC004847.1",1,9,15,10,7,2,35,30,14,2
"AC004849.1",2,0,12,6,0,0,1,2,0,0
"AC004852.1",0,0,0,0,0,0,0,0,0,0
"AC004852.2",5,1,29,9,0,0,2,1,5,3
"AC004852.3",0,0,0,0,0,0,0,0,0,0
"AC004854.1",0,0,0,0,0,0,0,0,0,0
"AC004854.2",15,9,40,17,6,1,11,4,8,7
"AC004858.1",0,0,2,0,0,0,0,0,0,0
"AC004862.1",0,0,1,0,1,0,1,0,0,0
"AC004863.1",1,1,3,0,2,0,3,1,4,3
"AC004865.1",0,0,0,0,0,0,4,0,0,1
"AC004865.2",9,5,54,31,8,0,3,20,6,8
"AC004866.1",0,0,0,0,0,0,0,0,0,0
"AC004866.2",0,0,0,0,0,0,0,0,0,0
"AC004869.1",0,0,0,0,0,0,0,0,0,0
"AC004869.2",0,0,0,0,0,0,0,0,0,0
"AC004870.1",0,1,5,4,0,0,0,12,1,0
"AC004870.2",0,0,0,0,0,0,0,0,0,0
"AC004870.3",0,0,0,0,0,0,0,0,0,0
"AC004870.4",0,0,0,0,0,0,0,2,0,0
"AC004875.1",0,0,1,0,0,0,0,0,1,0
"AC004877.1",0,0,18,3,0,0,8,0,0,2
"AC004877.2",5,7,52,17,4,3,17,20,15,12
"AC004879.1",0,0,0,0,0,0,0,0,0,0
"AC004879.2",0,0,0,0,0,0,0,0,0,0
"AC004882.1",0,0,0,0,0,0,0,0,0,0
"AC004882.2",0,0,2,0,0,0,0,2,0,0
"AC004882.3",0,0,0,0,0,0,0,0,0,0
"AC004882.4",0,1,28,9,0,0,1,9,1,2
"AC004884.1",1,2,0,1,0,0,0,0,0,0
"AC004884.2",4,0,3,4,2,2,0,1,0,1
"AC004888.1",1,0,0,0,0,0,0,0,0,0
"AC004890.1",1,4,0,0,0,0,0,0,0,1
"AC004890.2",61,77,231,185,12,7,33,64,104,100
"AC004890.3",0,0,9,7,2,0,2,0,3,1
"AC004893.1",0,0,0,0,0,0,0,0,0,0
"AC004893.2",9,4,83,33,3,0,12,9,7,6
"AC004895.1",1,0,2,2,0,0,1,0,3,0
"AC004898.1",2,0,19,8,2,0,3,0,1,1
"AC004899.1",0,0,0,0,0,0,0,0,0,0
"AC004899.2",0,0,0,0,0,0,0,0,0,0
"AC004900.1",0,1,12,8,0,0,5,0,0,0
"AC004908.1",3,6,21,13,2,2,2,6,6,4
"AC004908.2",7,5,24,21,0,1,2,6,5,2
"AC004908.3",0,0,5,4,0,0,1,1,0,1
"AC004909.1",0,0,0,0,0,0,0,0,0,0
"AC004910.1",1,2,6,5,0,0,2,10,0,0
"AC004911.1",0,0,0,0,0,0,0,0,1,1
"AC004912.1",0,0,0,0,0,0,0,0,0,0
"AC004917.1",2,0,3,3,0,0,3,6,1,3
"AC004918.1",20,13,38,22,1,3,12,32,27,27
"AC004918.5",11,21,130,70,10,2,16,22,43,8
"AC004920.1",0,0,0,0,0,0,0,2,0,1
"AC004921.1",0,0,0,0,0,0,0,0,0,0
"AC004921.2",4,1,23,13,0,2,3,1,3,5
"AC004922.1",13,48,32,33,3,0,2,28,25,5
"AC004923.1",22,12,26,31,2,10,8,11,4,10
"AC004923.2",0,0,3,0,0,0,0,1,0,1
"AC004923.3",0,0,0,0,0,0,0,0,0,0
"AC004923.4",0,0,3,2,1,1,2,1,0,1
"AC004925.1",3,1,15,5,0,0,2,6,5,6
"AC004930.1",0,0,0,0,0,0,0,0,0,0
"AC004936.1",0,0,0,0,0,0,0,0,0,0
"AC004938.1",0,1,0,2,0,0,0,0,0,0
"AC004938.2",13,3,79,39,5,1,16,8,20,11
"AC004941.1",6,1,37,7,4,0,2,8,2,2
"AC004941.2",0,0,0,0,0,0,0,1,0,0
"AC004943.1",0,2,7,3,0,0,0,4,1,1
"AC004943.2",25,43,110,80,22,13,32,54,40,37
"AC004943.3",0,0,2,1,0,0,1,1,0,0
"AC004944.1",1,1,2,1,0,0,0,0,0,1
"AC004945.1",0,0,0,0,0,0,0,0,0,0
"AC004946.1",0,0,0,0,0,0,0,0,0,0
"AC004946.2",0,0,0,0,0,0,0,0,0,0
"AC004947.1",0,0,0,0,0,0,0,1,0,0
"AC004947.2",0,0,0,0,0,0,0,0,0,0
"AC004947.3",0,1,3,0,0,0,0,1,1,2
"AC004948.1",1,2,3,3,0,0,0,0,3,4
"AC004949.1",0,1,0,0,0,0,0,0,0,1
"AC004951.1",54,29,333,138,41,14,72,63,46,22
"AC004951.2",16,16,34,23,11,0,30,55,16,23
"AC004951.3",21,12,37,32,7,5,11,11,7,13
"AC004951.4",11,21,50,50,0,4,6,13,31,30
"AC004965.1",0,0,0,0,0,0,0,0,0,0
"AC004966.1",0,0,0,0,0,0,0,0,0,0
"AC004967.1",13,5,22,20,2,2,5,3,3,3
"AC004967.2",41,37,155,93,12,8,16,40,12,31
"AC004969.1",1,0,12,2,0,0,5,2,2,1
"AC004972.1",0,0,6,1,0,0,0,1,1,0
"AC004973.1",1,2,3,5,0,0,0,0,0,1
"AC004974.1",0,0,3,7,0,0,0,0,0,0
"AC004975.1",2,1,8,5,0,0,2,1,1,0
"AC004975.2",3,2,13,3,1,0,1,2,5,1
"AC004980.1",82,64,289,192,26,14,41,104,98,78
"AC004980.2",2,2,9,8,0,1,1,0,1,2
"AC004980.3",7,5,0,0,0,0,0,5,7,4
"AC004980.4",0,0,0,0,0,0,0,0,0,0
"AC004980.5",2,0,5,4,0,0,0,0,1,0
"AC004982.1",5,2,24,19,1,3,0,12,9,8
"AC004982.2",20,16,77,48,2,6,3,20,14,25
"AC004986.1",0,0,0,0,0,0,0,0,0,0
"AC004987.1",0,0,0,0,0,0,0,0,0,0
"AC004987.2",0,0,0,0,0,0,0,0,0,0
"AC004987.3",0,0,4,1,0,0,0,0,1,0
"AC004988.1",0,1,1,3,0,0,0,1,0,0
"AC004990.1",12,6,38,19,3,1,3,11,8,6
"AC004997.1",81,59,133,167,35,9,88,70,68,67
"AC005000.1",1,0,1,3,0,1,0,0,0,1
"AC005000.2",2,0,3,0,0,0,0,0,0,0
"AC005002.1",0,0,0,0,0,0,0,0,0,0
"AC005002.2",0,0,0,0,0,0,0,0,0,0
"AC005005.1",0,0,0,0,0,0,0,0,0,0
"AC005005.2",0,2,3,2,0,0,0,0,0,0
"AC005005.3",12,3,45,6,2,0,10,4,6,2
"AC005005.4",38,17,220,91,19,2,40,38,31,18
"AC005006.1",1,0,4,5,0,0,0,0,0,1
"AC005008.1",0,0,0,0,0,0,0,0,0,0
"AC005008.2",0,0,0,0,0,0,0,0,0,0
"AC005009.1",0,0,0,0,0,0,0,0,0,0
"AC005011.1",0,0,2,0,0,0,0,0,2,0
"AC005013.1",1,0,3,2,0,0,0,0,1,0
"AC005014.1",0,1,1,0,0,0,0,3,0,0
"AC005014.2",3,2,4,3,1,0,0,3,2,6
"AC005014.3",5,17,14,21,0,1,0,8,6,5
"AC005014.4",3,0,6,4,2,0,0,5,1,0
"AC005019.1",0,1,0,2,0,0,0,0,0,0
"AC005019.2",0,0,1,0,0,0,0,0,0,1
"AC005020.1",0,1,4,0,1,0,0,0,0,0
"AC005020.2",11,3,12,0,0,0,4,26,6,6
"AC005021.1",0,4,9,6,0,0,4,2,1,3
"AC005034.1",0,0,0,0,0,0,0,0,0,0
"AC005034.2",0,0,0,0,0,0,0,0,0,0
"AC005034.3",1,0,2,1,0,1,1,0,1,2
"AC005034.4",16,10,31,15,4,0,9,16,18,0
"AC005034.5",0,0,2,1,0,0,0,0,1,0
"AC005034.6",14,13,21,18,2,2,5,7,13,15
"AC005034.7",17,8,128,50,11,0,9,27,23,11
"AC005037.1",2,0,5,1,1,0,2,2,0,0
"AC005037.2",3,4,37,22,1,0,0,1,3,0
"AC005040.1",0,0,0,0,0,0,0,2,0,0
"AC005040.2",0,0,10,9,1,0,0,3,0,0
"AC005041.1",16,8,102,40,2,1,6,12,12,3
"AC005041.2",1,0,0,2,0,0,2,1,1,0
"AC005041.3",2,0,7,3,1,0,2,2,0,0
"AC005041.4",5,0,17,10,4,0,3,5,0,0
"AC005041.5",15,9,36,27,10,1,6,15,21,16
"AC005042.1",6,5,9,10,3,7,3,2,3,1
"AC005042.2",2,1,0,3,0,0,0,0,0,1
"AC005045.1",0,3,0,0,2,1,6,0,7,1
"AC005045.2",15,10,13,26,18,5,35,53,0,1
"AC005046.1",0,0,0,0,0,0,0,0,0,0
"AC005046.2",9,6,45,44,2,2,5,15,5,8
"AC005049.1",0,0,0,0,0,0,0,0,0,0
"AC005050.1",0,0,1,1,0,0,0,2,0,0
"AC005050.2",1,0,0,3,1,1,4,4,1,0
"AC005050.3",1,0,4,1,0,0,0,0,0,0
"AC005052.1",0,1,1,1,1,0,0,1,0,0
"AC005052.2",12,7,128,45,1,4,2,19,22,10
"AC005062.1",3,14,7,28,6,3,17,41,15,37
"AC005064.1",15,8,12,7,2,3,7,6,13,2
"AC005064.2",0,0,0,0,0,0,0,0,0,0
"AC005064.3",0,0,0,0,0,0,0,0,0,0
"AC005066.1",0,0,0,0,0,0,0,0,0,0
"AC005070.1",0,0,3,0,1,0,0,0,0,0
"AC005070.2",0,0,3,0,0,0,2,1,0,0
"AC005070.3",20,14,114,46,15,2,24,26,27,18
"AC005071.1",0,0,0,0,0,0,0,0,0,0
"AC005071.2",0,0,3,0,0,0,0,1,0,1
"AC005072.1",4,0,17,7,1,2,0,8,1,0
"AC005076.1",0,0,3,0,0,0,0,1,0,0
"AC005076.2",4,7,9,25,2,3,11,12,9,11
"AC005076.3",1,2,1,1,0,0,0,2,0,0
"AC005077.1",0,0,5,3,0,0,0,0,0,0
"AC005077.2",1,1,3,1,0,0,1,0,2,0
"AC005077.3",1,0,1,1,0,0,0,0,0,0
"AC005077.4",12,9,70,15,9,0,15,13,29,6
"AC005081.1",5,1,16,3,0,0,1,3,10,2
"AC005082.1",83,14,99,20,58,3,59,54,76,22
"AC005082.2",3,0,15,0,0,0,0,0,4,0
"AC005083.1",50,68,47,108,19,42,32,58,56,70
"AC005084.1",0,0,0,0,0,0,0,0,0,0
"AC005086.1",0,0,2,0,0,0,0,0,0,0
"AC005086.2",3,0,11,5,1,0,0,1,0,1
"AC005086.3",0,0,6,1,0,0,0,1,0,0
"AC005086.4",0,0,2,1,0,1,0,0,0,1
"AC005086.5",2,2,19,5,0,0,4,1,4,3
"AC005088.1",0,0,1,0,0,0,0,0,0,0
"AC005089.1",1,2,47,15,1,0,3,7,3,2
"AC005090.1",0,0,0,0,0,0,0,0,0,0
"AC005091.1",1,0,17,1,1,1,1,0,1,1
"AC005094.1",0,1,0,0,0,0,0,0,0,0
"AC005096.1",0,0,6,1,1,0,3,0,0,0
"AC005099.1",12,14,1,33,0,1,2,5,3,0
"AC005100.1",0,0,0,0,0,0,0,0,0,0
"AC005100.2",0,0,0,0,0,0,0,1,0,0
"AC005102.1",0,0,0,1,1,0,0,2,0,0
"AC005104.1",0,4,48,6,0,0,3,5,3,2
"AC005104.2",0,0,13,6,1,0,0,0,2,1
"AC005104.3",1,0,8,3,1,0,0,0,0,0
"AC005105.1",0,0,0,1,0,0,0,0,0,0
"AC005144.1",0,0,0,0,0,0,0,1,1,0
"AC005153.1",0,0,0,0,0,0,0,2,0,0
"AC005154.1",0,1,16,4,0,0,1,1,2,0
"AC005154.2",7,6,46,41,2,0,7,24,14,8
"AC005154.3",1,0,0,0,0,0,0,3,0,0
"AC005154.4",2,1,38,14,0,1,0,0,0,0
"AC005154.5",2,0,0,8,0,0,0,2,2,11
"AC005156.1",0,0,2,0,0,0,0,0,0,0
"AC005160.1",0,0,0,0,0,0,0,0,0,0
"AC005162.1",5,4,1,5,0,1,2,0,2,1
"AC005162.2",6,5,13,18,0,2,7,12,4,2
"AC005165.1",15,52,129,221,11,18,9,66,80,54
"AC005165.2",0,0,0,3,0,0,0,0,1,0
"AC005165.3",1,1,1,3,0,0,0,0,0,1
"AC005176.1",0,1,2,0,0,0,0,2,0,1
"AC005176.2",0,0,0,0,0,0,0,0,0,0
"AC005178.1",0,0,0,0,0,0,0,0,0,0
"AC005180.1",0,0,0,0,0,0,0,0,0,0
"AC005180.2",0,0,6,0,0,0,0,0,0,0
"AC005181.1",0,0,0,0,0,0,0,0,0,0
"AC005183.1",3,0,39,12,8,0,3,0,1,2
"AC005185.1",0,0,0,0,0,0,0,0,0,0
"AC005189.1",0,0,2,0,0,0,0,0,0,0
"AC005191.1",0,0,0,0,0,0,0,0,0,0
"AC005197.1",1,0,9,3,1,0,0,2,0,0
"AC005208.1",0,0,0,0,0,0,0,0,0,0
"AC005209.1",1,1,1,1,4,1,0,1,0,3
"AC005219.1",0,0,0,0,0,0,0,0,0,0
"AC005220.1",0,0,0,1,0,0,0,0,0,0
"AC005224.1",0,0,2,1,0,0,0,2,0,0
"AC005224.2",4,4,27,8,2,0,5,15,1,3
"AC005224.3",14,10,117,19,9,3,20,35,13,10
"AC005225.1",0,1,7,5,0,0,0,6,2,1
"AC005225.2",15,14,48,24,6,1,8,7,16,8
"AC005225.3",2,0,7,2,0,0,6,3,5,4
"AC005225.4",15,4,43,18,6,1,16,15,11,8
"AC005229.1",0,0,0,0,0,0,0,0,0,0
"AC005229.2",0,0,0,0,0,0,0,1,0,0
"AC005229.3",0,0,0,0,0,0,0,0,0,0
"AC005229.4",83,47,167,71,76,34,126,172,52,68
"AC005229.5",0,0,0,0,0,0,0,0,0,0
"AC005230.1",0,0,1,1,0,0,0,1,0,0
"AC005232.1",0,0,6,0,0,0,1,1,0,0
"AC005234.1",0,0,0,0,0,0,0,0,0,0
"AC005234.2",4,0,17,9,0,1,6,12,4,3
"AC005237.1",0,2,10,10,2,1,3,6,2,2
"AC005237.2",0,0,1,0,0,0,0,0,0,0
"AC005244.1",4,0,15,14,2,0,0,0,4,3
"AC005244.2",0,0,0,0,0,0,0,1,0,0
"AC005252.1",0,0,0,0,0,0,0,0,0,0
"AC005252.2",0,0,0,0,0,0,0,0,0,0
"AC005252.3",0,0,0,0,0,0,0,0,0,0
"AC005252.4",0,0,1,0,0,0,0,0,0,0
"AC005253.1",21,20,210,87,9,3,25,26,27,20
"AC005253.2",0,0,0,2,0,0,0,0,0,0
"AC005255.1",0,3,0,2,0,0,0,0,0,0
"AC005256.1",1,1,0,0,0,1,2,0,0,1
"AC005258.1",0,8,14,0,0,0,22,0,0,0
"AC005258.2",5,0,20,10,1,0,1,0,5,0
"AC005261.1",313,152,934,325,64,29,142,299,232,275
"AC005261.2",15,3,85,34,0,2,2,9,12,8
"AC005261.3",40,6,0,0,2,0,0,35,31,42
"AC005261.4",0,0,0,0,0,0,0,0,0,0
"AC005261.5",12,4,100,38,9,0,16,11,10,4
"AC005262.1",4,4,31,5,0,0,0,1,2,0
"AC005262.2",15,23,52,15,0,4,6,4,9,4
"AC005264.1",16,5,190,47,4,0,5,7,6,5
"AC005274.1",1,0,4,0,0,0,0,1,1,0
"AC005277.1",0,0,0,0,0,0,0,0,0,1
"AC005277.2",0,0,0,0,0,0,0,0,0,0
"AC005280.1",1,0,4,2,0,0,2,2,0,0
"AC005280.2",0,0,3,0,0,0,0,2,0,0
"AC005280.3",0,0,0,1,0,0,0,0,2,0
"AC005281.1",3,0,2,8,2,1,0,0,1,0
"AC005288.1",51,33,66,58,11,16,19,66,23,41
"AC005291.1",2,1,15,5,0,0,0,4,3,0
"AC005291.2",0,0,1,0,1,0,0,0,0,0
"AC005293.1",0,0,1,1,0,0,0,0,0,0
"AC005294.1",0,0,0,0,0,0,0,0,0,0
"AC005296.1",0,0,1,0,0,0,0,0,0,0
"AC005297.1",0,0,0,0,0,0,0,0,0,0
"AC005297.2",0,0,0,0,0,0,0,0,0,0
"AC005297.3",0,0,0,0,0,0,0,0,0,0
"AC005300.1",2,1,1,0,0,0,1,0,0,0
"AC005301.1",0,1,1,0,0,0,0,0,0,0
"AC005301.2",2,8,10,7,0,0,0,0,1,2
"AC005303.1",0,0,0,0,0,0,0,0,0,0
"AC005304.1",0,0,1,2,0,0,1,0,0,0
"AC005304.2",17,10,63,28,4,4,10,13,14,8
